1571325798.88, 715, 761, 587, 542, 630, 679, 508, 621
1571325798.92, 730, 758, 603, 540, 616, 680, 490, 624
1571325798.95, 740, 759, 621, 537, 601, 683, 478, 623
1571325798.99, 746, 763, 641, 533, 585, 686, 470, 619
1571325799.02, 747, 770, 661, 528, 569, 689, 468, 612
1571325799.06, 742, 780, 681, 522, 554, 693, 471, 602
1571325799.1, 733, 792, 700, 517, 540, 697, 479, 589
1571325799.14, 719, 806, 716, 511, 528, 701, 493, 575
1571325799.17, 699, 821, 728, 507, 520, 703, 511, 560
1571325799.21, 676, 838, 732, 506, 517, 704, 534, 544
1571325799.24, 673, 839, 686, 532, 557, 681, 537, 542
1571325799.28, 670, 839, 644, 556, 594, 659, 540, 543
1571325799.32, 665, 839, 607, 577, 627, 640, 546, 543
1571325799.35, 658, 839, 575, 593, 656, 625, 554, 543
1571325799.39, 649, 839, 547, 607, 681, 612, 564, 543
1571325799.43, 638, 840, 522, 616, 703, 603, 577, 543
1571325799.46, 626, 841, 502, 622, 720, 598, 592, 541
1571325799.5, 612, 843, 486, 624, 734, 596, 609, 539
1571325799.54, 596, 846, 475, 623, 743, 597, 627, 536
1571325799.57, 580, 849, 469, 617, 747, 602, 647, 531
1571325799.61, 564, 853, 468, 609, 746, 610, 667, 526
1571325799.65, 549, 857, 473, 598, 740, 621, 687, 521
1571325799.68, 536, 861, 483, 585, 729, 634, 705, 515
1571325799.72, 525, 864, 498, 571, 713, 648, 720, 510
1571325799.75, 519, 866, 518, 555, 693, 664, 730, 506
1571325799.79, 528, 860, 536, 542, 674, 677, 720, 513
1571325799.83, 568, 836, 538, 543, 672, 677, 672, 540
1571325799.86, 604, 815, 542, 543, 669, 677, 632, 563
1571325799.9, 636, 797, 548, 543, 663, 677, 597, 582
1571325799.94, 664, 782, 557, 543, 656, 677, 566, 598
1571325799.97, 688, 771, 568, 543, 646, 677, 539, 610
1571325800.01, 709, 763, 581, 542, 635, 678, 515, 618
1571325800.04, 725, 759, 597, 541, 621, 680, 496, 623
